Console Commands and CVars Analysis
====================================

List of commands and cvars found in the binary compared to the cl_dll source project.

--------------------------------------------------
CONSOLE COMMANDS (+pfnAddCommand)
--------------------------------------------------

Status  | Name                  | Binary Func | Source Location (if present)
------- | --------------------- | ----------- | ---------------------------
PRESENT | +moveup               | 10029c80    | cl_dll/input.cpp
PRESENT | -moveup               | 10029c90    | cl_dll/input.cpp
PRESENT | +movedown             | 10029ca0    | cl_dll/input.cpp
PRESENT | -movedown             | 10029cb0    | cl_dll/input.cpp
PRESENT | +left                 | 10029cc0    | cl_dll/input.cpp
PRESENT | -left                 | 10029cd0    | cl_dll/input.cpp
PRESENT | +right                | 10029ce0    | cl_dll/input.cpp
PRESENT | -right                | 10029cf0    | cl_dll/input.cpp
PRESENT | +forward              | 10029d00    | cl_dll/input.cpp
PRESENT | -forward              | 10029d20    | cl_dll/input.cpp
PRESENT | +back                 | 10029d40    | cl_dll/input.cpp
PRESENT | -back                 | 10029d60    | cl_dll/input.cpp
PRESENT | +lookup               | 10029d80    | cl_dll/input.cpp
PRESENT | -lookup               | 10029d90    | cl_dll/input.cpp
PRESENT | +lookdown             | 10029da0    | cl_dll/input.cpp
PRESENT | -lookdown             | 10029db0    | cl_dll/input.cpp
PRESENT | +strafe               | 10029e60    | cl_dll/input.cpp
PRESENT | -strafe               | 10029e70    | cl_dll/input.cpp
PRESENT | +moveleft             | 10029dc0    | cl_dll/input.cpp
PRESENT | -moveleft             | 10029de0    | cl_dll/input.cpp
PRESENT | +moveright            | 10029e00    | cl_dll/input.cpp
PRESENT | -moveright            | 10029e20    | cl_dll/input.cpp
PRESENT | +speed                | 10029e40    | cl_dll/input.cpp
PRESENT | -speed                | 10029e50    | cl_dll/input.cpp
PRESENT | +attack               | 10029fa0    | cl_dll/input.cpp
PRESENT | -attack               | 10029fc0    | cl_dll/input.cpp
PRESENT | +attack2              | 10029e80    | cl_dll/input.cpp
PRESENT | -attack2              | 10029ea0    | cl_dll/input.cpp
PRESENT | +use                  | 10029eb0    | cl_dll/input.cpp
PRESENT | -use                  | 10029ed0    | cl_dll/input.cpp
PRESENT | +jump                 | 10029ee0    | cl_dll/input.cpp
PRESENT | -jump                 | 10029f00    | cl_dll/input.cpp
PRESENT | impulse               | 10029fe0    | cl_dll/input.cpp
PRESENT | +klook                | 10029c30    | cl_dll/input.cpp
PRESENT | -klook                | 10029c40    | cl_dll/input.cpp
PRESENT | +mlook                | 10029c70    | cl_dll/input.cpp
PRESENT | -mlook                | 1002a040    | cl_dll/input.cpp
PRESENT | +jlook                | 10029c50    | cl_dll/input.cpp
PRESENT | -jlook                | 10029c60    | cl_dll/input.cpp
PRESENT | +duck                 | 10029f10    | cl_dll/input.cpp
